input	canonical	year	precision	qualifier	calendar	range	valid	reason	stored	exported551	exported7	storedyear	storedvalid
JUN 1901	1901-06	1901	month		GREGORIAN	-	false	month names are not canonical; write 1901-06	1901-06	JUN 1901	JUN 1901	1901	true
MAR 1340	1340-03	1340	month		GREGORIAN	-	false	month names are not canonical; write 1340-03	1340-03	MAR 1340	MAR 1340	1340	true
MAR 1342	1342-03	1342	month		GREGORIAN	-	false	month names are not canonical; write 1342-03	1342-03	MAR 1342	MAR 1342	1342	true
MAY 1332	1332-05	1332	month		GREGORIAN	-	false	month names are not canonical; write 1332-05	1332-05	MAY 1332	MAY 1332	1332	true
MAY 1603	1603-05	1603	month		GREGORIAN	-	false	month names are not canonical; write 1603-05	1603-05	MAY 1603	MAY 1603	1603	true
NOV 1217	1217-11	1217	month		GREGORIAN	-	false	month names are not canonical; write 1217-11	1217-11	NOV 1217	NOV 1217	1217	true
NOV 1513	1513-11	1513	month		GREGORIAN	-	false	month names are not canonical; write 1513-11	1513-11	NOV 1513	NOV 1513	1513	true
OCT 1165	1165-10	1165	month		GREGORIAN	-	false	month names are not canonical; write 1165-10	1165-10	OCT 1165	OCT 1165	1165	true
OCT 1196	1196-10	1196	month		GREGORIAN	-	false	month names are not canonical; write 1196-10	1196-10	OCT 1196	OCT 1196	1196	true
SEP 1170	1170-09	1170	month		GREGORIAN	-	false	month names are not canonical; write 1170-09	1170-09	SEP 1170	SEP 1170	1170	true
SEP 1348	1348-09	1348	month		GREGORIAN	-	false	month names are not canonical; write 1348-09	1348-09	SEP 1348	SEP 1348	1348	true
1307 (or '50) Gloucester     Shrops. 1282 - by 1344	1307 (or '50) Gloucester Shrops. 1282 - by 1344	1307	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1307 (or '50) Gloucester Shrops. 1282 - by 1344	1307 (or '50) Gloucester Shrops. 1282 - by 1344	1307 (or '50) Gloucester Shrops. 1282 - by 1344	1307	false
967 (or '81?)	967 (or '81?)	967	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	967 (or '81?)	967 (or '81?)	967 (or '81?)	967	false
1 APR 1204	1204-04-01	1204	day		GREGORIAN	-	false	month names are not canonical; write 1204-04-01	1204-04-01	1 APR 1204	1 APR 1204	1204	true
1 APR 1721	1721-04-01	1721	day		GREGORIAN	-	false	month names are not canonical; write 1721-04-01	1721-04-01	1 APR 1721	1 APR 1721	1721	true
1 APR 1872/73	1 APR 1872/73	1872	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1 APR 1872/73	1 APR 1872/73	1 APR 1872/73	1872	false
1 AUG 1137	1137-08-01	1137	day		GREGORIAN	-	false	month names are not canonical; write 1137-08-01	1137-08-01	1 AUG 1137	1 AUG 1137	1137	true
1 AUG 1402	1402-08-01	1402	day		GREGORIAN	-	false	month names are not canonical; write 1402-08-01	1402-08-01	1 AUG 1402	1 AUG 1402	1402	true
1 DEC 1135	1135-12-01	1135	day		GREGORIAN	-	false	month names are not canonical; write 1135-12-01	1135-12-01	1 DEC 1135	1 DEC 1135	1135	true
1 DEC 1241	1241-12-01	1241	day		GREGORIAN	-	false	month names are not canonical; write 1241-12-01	1241-12-01	1 DEC 1241	1 DEC 1241	1241	true
1 FEB 1168	1168-02-01	1168	day		GREGORIAN	-	false	month names are not canonical; write 1168-02-01	1168-02-01	1 FEB 1168	1 FEB 1168	1168	true
1 FEB 1328	1328-02-01	1328	day		GREGORIAN	-	false	month names are not canonical; write 1328-02-01	1328-02-01	1 FEB 1328	1 FEB 1328	1328	true
1 JAN 1511	1511-01-01	1511	day		GREGORIAN	-	false	month names are not canonical; write 1511-01-01	1511-01-01	1 JAN 1511	1 JAN 1511	1511	true
1 JAN 1515	1515-01-01	1515	day		GREGORIAN	-	false	month names are not canonical; write 1515-01-01	1515-01-01	1 JAN 1515	1 JAN 1515	1515	true
1 JUL 1534	1534-07-01	1534	day		GREGORIAN	-	false	month names are not canonical; write 1534-07-01	1534-07-01	1 JUL 1534	1 JUL 1534	1534	true
1 JUL 1862	1862-07-01	1862	day		GREGORIAN	-	false	month names are not canonical; write 1862-07-01	1862-07-01	1 JUL 1862	1 JUL 1862	1862	true
1 JUN 1300	1300-06-01	1300	day		GREGORIAN	-	false	month names are not canonical; write 1300-06-01	1300-06-01	1 JUN 1300	1 JUN 1300	1300	true
1 JUN 1811	1811-06-01	1811	day		GREGORIAN	-	false	month names are not canonical; write 1811-06-01	1811-06-01	1 JUN 1811	1 JUN 1811	1811	true
1 MAR 1763	1763-03-01	1763	day		GREGORIAN	-	false	month names are not canonical; write 1763-03-01	1763-03-01	1 MAR 1763	1 MAR 1763	1763	true
1 MAR 1853	1853-03-01	1853	day		GREGORIAN	-	false	month names are not canonical; write 1853-03-01	1853-03-01	1 MAR 1853	1 MAR 1853	1853	true
1 MAY 1118	1118-05-01	1118	day		GREGORIAN	-	false	month names are not canonical; write 1118-05-01	1118-05-01	1 MAY 1118	1 MAY 1118	1118	true
1 MAY 1245	1245-05-01	1245	day		GREGORIAN	-	false	month names are not canonical; write 1245-05-01	1245-05-01	1 MAY 1245	1 MAY 1245	1245	true
1 NOV 1396	1396-11-01	1396	day		GREGORIAN	-	false	month names are not canonical; write 1396-11-01	1396-11-01	1 NOV 1396	1 NOV 1396	1396	true
1 NOV 1399	1399-11-01	1399	day		GREGORIAN	-	false	month names are not canonical; write 1399-11-01	1399-11-01	1 NOV 1399	1 NOV 1399	1399	true
1 OCT 1207	1207-10-01	1207	day		GREGORIAN	-	false	month names are not canonical; write 1207-10-01	1207-10-01	1 OCT 1207	1 OCT 1207	1207	true
1 OCT 1643	1643-10-01	1643	day		GREGORIAN	-	false	month names are not canonical; write 1643-10-01	1643-10-01	1 OCT 1643	1 OCT 1643	1643	true
1 SEP 1715	1715-09-01	1715	day		GREGORIAN	-	false	month names are not canonical; write 1715-09-01	1715-09-01	1 SEP 1715	1 SEP 1715	1715	true
1 SEP 1883	1883-09-01	1883	day		GREGORIAN	-	false	month names are not canonical; write 1883-09-01	1883-09-01	1 SEP 1883	1 SEP 1883	1883	true
1096 (or 1100+)	1096 (or 1100+)	1096	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1096 (or 1100+)	1096 (or 1100+)	1096 (or 1100+)	1096	false
1317 (or '12)	1317 (or '12)	1317	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1317 (or '12)	1317 (or '12)	1317 (or '12)	1317	false
2 APR  742	0742-04-02	742	day		GREGORIAN	-	false	month names are not canonical; write 0742-04-02	0742-04-02	2 APR 0742	2 APR 0742	742	true
2 FEB 1601/02	2 FEB 1601/02	1601	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	2 FEB 1601/02	2 FEB 1601/02	2 FEB 1601/02	1601	false
2 Jan 2004	2004-01-02	2004	day		GREGORIAN	-	false	month names are not canonical; write 2004-01-02	2004-01-02	2 JAN 2004	2 JAN 2004	2004	true
2 MAR 1707/08	2 MAR 1707/08	1707	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	2 MAR 1707/08	2 MAR 1707/08	2 MAR 1707/08	1707	false
3 JAN 1742/43	3 JAN 1742/43	1742	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	3 JAN 1742/43	3 JAN 1742/43	3 JAN 1742/43	1742	false
3 Jan 2004	2004-01-03	2004	day		GREGORIAN	-	false	month names are not canonical; write 2004-01-03	2004-01-03	3 JAN 2004	3 JAN 2004	2004	true
5 JAN 1720/21	5 JAN 1720/21	1720	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	5 JAN 1720/21	5 JAN 1720/21	5 JAN 1720/21	1720	false
5? BC	5? BC	-5	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	5? BC	5? BC	5? BC	-5	false
6 MAR 1605/06	6 MAR 1605/06	1605	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	6 MAR 1605/06	6 MAR 1605/06	6 MAR 1605/06	1605	false
6 OCT  877	0877-10-06	877	day		GREGORIAN	-	false	month names are not canonical; write 0877-10-06	0877-10-06	6 OCT 0877	6 OCT 0877	877	true
609 BC Megiddo	609 BC Megiddo	-609	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	609 BC Megiddo	609 BC Megiddo	609 BC Megiddo	-609	false
9 FEB 1657/58	9 FEB 1657/58	1657	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	9 FEB 1657/58	9 FEB 1657/58	9 FEB 1657/58	1657	false
abt. 1532 (or by '12?)	ABT 1532 (or by '12?)	1532	year	ABT	GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	abt. 1532 (or by '12?)	ABT 1532 (or by '12?)	ABT 1532 (or by '12?)	1532	false
abt. 777 BC (or abt. 580 BC)	ABT 777 BC (or abt. 580 BC)	-777	year	ABT	GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	abt. 777 BC (or abt. 580 BC)	ABT 777 BC (or abt. 580 BC)	ABT 777 BC (or abt. 580 BC)	-777	false
aft. 1053 (or '26?)	AFT 1053 (or '26?)	1053	year	AFT	GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	aft. 1053 (or '26?)	AFT 1053 (or '26?)	AFT 1053 (or '26?)	1053	false
either 1228 (or '15?	either 1228 (or '15?	1228	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	either 1228 (or '15?	either 1228 (or '15?	either 1228 (or '15?	1228	false
__________	__________	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	__________	__________	__________	0	false
_CAL2 23 _MON2 88 _EP2	_CAL2 23 _MON2 88 _EP2	0	none		OTHER	-	false	the year must be the last token of "23 _MON2 88 _EP2"	_CAL2 23 _MON2 88 _EP2	@#DCAL2@ 23 _MON2 88 _EP2	_CAL2 23 _MON2 88 _EP2	0	false
_CALENDAR 8 _MONTH 190 _EPOCH	_CALENDAR 8 _MONTH 190 _EPOCH	190	year		OTHER	-	false	the year must be the last token of "8 _MONTH 190 _EPOCH"	_CALENDAR 8 _MONTH 190 _EPOCH	@#DCALENDAR@ 8 _MONTH 190 _EPOCH	_CALENDAR 8 _MONTH 190 _EPOCH	190	false
_ROMAN _MONTH 76	_ROMAN _MONTH 76	76	year		OTHER	-	true		_ROMAN _MONTH 76	@#DROMAN@ _MONTH 76	_ROMAN _MONTH 76	76	true
_ROMAN _MONTH 88	_ROMAN _MONTH 88	88	year		OTHER	-	true		_ROMAN _MONTH 88	@#DROMAN@ _MONTH 88	_ROMAN _MONTH 88	88	true
_ROMAN 14 _MONTH 33	_ROMAN 14 _MONTH 33	33	year		OTHER	-	true		_ROMAN 14 _MONTH 33	@#DROMAN@ 14 _MONTH 33	_ROMAN 14 _MONTH 33	33	true
_ROMAN 24 _MONTH 15	_ROMAN 24 _MONTH 15	15	year		OTHER	-	true		_ROMAN 24 _MONTH 15	@#DROMAN@ 24 _MONTH 15	_ROMAN 24 _MONTH 15	15	true
_ROMAN 28	_ROMAN 28	28	year		OTHER	-	true		_ROMAN 28	@#DROMAN@ 28	_ROMAN 28	28	true
_ROMAN 86	_ROMAN 86	86	year		OTHER	-	true		_ROMAN 86	@#DROMAN@ 86	_ROMAN 86	86	true
_UNKNOWN _MONTH 17	_UNKNOWN _MONTH 17	17	year		OTHER	-	true		_UNKNOWN _MONTH 17	@#DUNKNOWN@ _MONTH 17	_UNKNOWN _MONTH 17	17	true
_UNKNOWN _MONTH 91	_UNKNOWN _MONTH 91	91	year		OTHER	-	true		_UNKNOWN _MONTH 91	@#DUNKNOWN@ _MONTH 91	_UNKNOWN _MONTH 91	91	true
_UNKNOWN 13 _MONTH 17	_UNKNOWN 13 _MONTH 17	17	year		OTHER	-	true		_UNKNOWN 13 _MONTH 17	@#DUNKNOWN@ 13 _MONTH 17	_UNKNOWN 13 _MONTH 17	17	true
_UNKNOWN 63	_UNKNOWN 63	63	year		OTHER	-	true		_UNKNOWN 63	@#DUNKNOWN@ 63	_UNKNOWN 63	63	true
_UNKNOWN 7 _MONTH 35	_UNKNOWN 7 _MONTH 35	35	year		OTHER	-	true		_UNKNOWN 7 _MONTH 35	@#DUNKNOWN@ 7 _MONTH 35	_UNKNOWN 7 _MONTH 35	35	true
_UNKNOWN 87	_UNKNOWN 87	87	year		OTHER	-	true		_UNKNOWN 87	@#DUNKNOWN@ 87	_UNKNOWN 87	87	true
-	-	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	-	-	-	0	false
,	,	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	,	,	,	0	false
?	?	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	?	?	?	0	false
? ??? ????	? ??? ????	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	? ??? ????	? ??? ????	? ??? ????	0	false
??	??	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	??	??	??	0	false
????	????	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	????	????	????	0	false
?1189 or 1194	?1189 or 1194	1189	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	?1189 or 1194	?1189 or 1194	?1189 or 1194	1189	false
?unknown	?unknown	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	?unknown	?unknown	?unknown	0	false
.	.	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	.	.	.	0	false
(1 August 1943)	(1 August 1943)	1943	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(1 August 1943)	(1 August 1943)	(1 August 1943)	1943	false
(1 July 1934)	(1 July 1934)	1934	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(1 July 1934)	(1 July 1934)	(1 July 1934)	1934	false
(1 July 1953)	(1 July 1953)	1953	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(1 July 1953)	(1 July 1953)	(1 July 1953)	1953	false
(1 June 1930)	(1 June 1930)	1930	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(1 June 1930)	(1 June 1930)	(1 June 1930)	1930	false
(1 Sept 1840)	(1 Sept 1840)	1840	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(1 Sept 1840)	(1 Sept 1840)	(1 Sept 1840)	1840	false
(1 September 1938)	(1 September 1938)	1938	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(1 September 1938)	(1 September 1938)	(1 September 1938)	1938	false
(10 Aug)	(10 Aug)	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(10 Aug)	(10 Aug)	(10 Aug)	0	false
(10 December 1946)	(10 December 1946)	1946	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(10 December 1946)	(10 December 1946)	(10 December 1946)	1946	false
(11 June 1935)	(11 June 1935)	1935	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(11 June 1935)	(11 June 1935)	(11 June 1935)	1935	false
(12 January 1975)	(12 January 1975)	1975	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(12 January 1975)	(12 January 1975)	(12 January 1975)	1975	false
(12 October 1942)	(12 October 1942)	1942	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(12 October 1942)	(12 October 1942)	(12 October 1942)	1942	false
(17 April 1979)	(17 April 1979)	1979	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(17 April 1979)	(17 April 1979)	(17 April 1979)	1979	false
(18 November 1962)	(18 November 1962)	1962	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(18 November 1962)	(18 November 1962)	(18 November 1962)	1962	false
(18 September 1971)	(18 September 1971)	1971	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(18 September 1971)	(18 September 1971)	(18 September 1971)	1971	false
(19 January 1954)	(19 January 1954)	1954	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(19 January 1954)	(19 January 1954)	(19 January 1954)	1954	false
(2 49822)	(2 49822)	2	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(2 49822)	(2 49822)	(2 49822)	2	false
(2 November 1943)	(2 November 1943)	1943	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(2 November 1943)	(2 November 1943)	(2 November 1943)	1943	false
(2 Sept 1847)	(2 Sept 1847)	1847	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(2 Sept 1847)	(2 Sept 1847)	(2 Sept 1847)	1847	false
(20 Aug)	(20 Aug)	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(20 Aug)	(20 Aug)	(20 Aug)	0	false
(20 August 1968)	(20 August 1968)	1968	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(20 August 1968)	(20 August 1968)	(20 August 1968)	1968	false
(20 October 1990)	(20 October 1990)	1990	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(20 October 1990)	(20 October 1990)	(20 October 1990)	1990	false
(20-1470) 1450	(20-1470) 1450	1470	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(20-1470) 1450	(20-1470) 1450	(20-1470) 1450	1470	false
(22 December 1831)	(22 December 1831)	1831	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(22 December 1831)	(22 December 1831)	(22 December 1831)	1831	false
(23 May)	(23 May)	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(23 May)	(23 May)	(23 May)	0	false
(25 February 1956)	(25 February 1956)	1956	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(25 February 1956)	(25 February 1956)	(25 February 1956)	1956	false
(26 Dec)	(26 Dec)	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(26 Dec)	(26 Dec)	(26 Dec)	0	false
(26 Nov)	(26 Nov)	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(26 Nov)	(26 Nov)	(26 Nov)	0	false
(29 April 1987)	(29 April 1987)	1987	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(29 April 1987)	(29 April 1987)	(29 April 1987)	1987	false
(2nd son)	(2nd son)	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(2nd son)	(2nd son)	(2nd son)	0	false
(3rd son)	(3rd son)	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(3rd son)	(3rd son)	(3rd son)	0	false
(4 May)	(4 May)	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(4 May)	(4 May)	(4 May)	0	false
(42-1651) 1609	(42-1651) 1609	1651	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(42-1651) 1609	(42-1651) 1609	(42-1651) 1609	1651	false
(5th son)	(5th son)	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(5th son)	(5th son)	(5th son)	0	false
(60-70 1830) 1770 BEF	(60-70 1830) 1770 BEF	1830	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(60-70 1830) 1770 BEF	(60-70 1830) 1770 BEF	(60-70 1830) 1770 BEF	1830	false
(7 March 1893)	(7 March 1893)	1893	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(7 March 1893)	(7 March 1893)	(7 March 1893)	1893	false
(70-1691)	(70-1691)	1691	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(70-1691)	(70-1691)	(70-1691)	1691	false
(Abt. 1802-1804)	(Abt. 1802-1804)	1802	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(Abt. 1802-1804)	(Abt. 1802-1804)	(Abt. 1802-1804)	1802	false
(Abt.)	(Abt.)	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(Abt.)	(Abt.)	(Abt.)	0	false
(After 7 September 1835)	(After 7 September 1835)	1835	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(After 7 September 1835)	(After 7 September 1835)	(After 7 September 1835)	1835	false
(April 1787)	(April 1787)	1787	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(April 1787)	(April 1787)	(April 1787)	1787	false
(April 1883)	(April 1883)	1883	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(April 1883)	(April 1883)	(April 1883)	1883	false
(Arlington Cem)	(Arlington Cem)	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(Arlington Cem)	(Arlington Cem)	(Arlington Cem)	0	false
(around 1830)	(around 1830)	1830	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(around 1830)	(around 1830)	(around 1830)	1830	false
(Auburn Cem)	(Auburn Cem)	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(Auburn Cem)	(Auburn Cem)	(Auburn Cem)	0	false
(August 1913)	(August 1913)	1913	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(August 1913)	(August 1913)	(August 1913)	1913	false
(by 1910)	(by 1910)	1910	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(by 1910)	(by 1910)	(by 1910)	1910	false
(c.1680)	(c.1680)	1680	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(c.1680)	(c.1680)	(c.1680)	1680	false
(c.1698)	(c.1698)	1698	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(c.1698)	(c.1698)	(c.1698)	1698	false
(C.1810)	(C.1810)	1810	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(C.1810)	(C.1810)	(C.1810)	1810	false
(c.1893twin)	(c.1893twin)	1893	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(c.1893twin)	(c.1893twin)	(c.1893twin)	1893	false
(C.1970)	(C.1970)	1970	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(C.1970)	(C.1970)	(C.1970)	1970	false
(c.Dec 1889)	(c.Dec 1889)	1889	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(c.Dec 1889)	(c.Dec 1889)	(c.Dec 1889)	1889	false
(c.Feb 1888)	(c.Feb 1888)	1888	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(c.Feb 1888)	(c.Feb 1888)	(c.Feb 1888)	1888	false
(c.Feb 1925)	(c.Feb 1925)	1925	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	(c.Feb 1925)	(c.Feb 1925)	(c.Feb 1925)	1925	false
